bed_id,bed_type,ward,status,isolation_capable
B001,ICU,ICU-Alpha,OCCUPIED,YES
B002,ICU,ICU-Alpha,OCCUPIED,YES
B003,ICU,ICU-Alpha,OCCUPIED,YES
B004,ICU,ICU-Alpha,OCCUPIED,YES
B005,ICU,ICU-Alpha,OCCUPIED,NO
B006,ICU,ICU-Alpha,OCCUPIED,NO
B007,ICU,ICU-Alpha,OCCUPIED,NO
B008,ICU,ICU-Alpha,OCCUPIED,NO
B009,ICU,ICU-Alpha,OCCUPIED,NO
B010,ICU,ICU-Alpha,OCCUPIED,NO
B011,ICU,ICU-Bravo,OCCUPIED,YES
B012,ICU,ICU-Bravo,OCCUPIED,YES
B013,ICU,ICU-Bravo,AVAILABLE,YES
B014,ICU,ICU-Bravo,OCCUPIED,YES
B015,ICU,ICU-Bravo,OCCUPIED,NO
B016,ICU,ICU-Bravo,AVAILABLE,NO
B017,ICU,ICU-Bravo,OCCUPIED,NO
B018,ICU,ICU-Bravo,OCCUPIED,NO
B019,ICU,ICU-Bravo,AVAILABLE,NO
B020,ICU,ICU-Bravo,OCCUPIED,NO
B021,STEP_DOWN,StepDown-East,OCCUPIED,YES
B022,STEP_DOWN,StepDown-East,OCCUPIED,YES
B023,STEP_DOWN,StepDown-East,OCCUPIED,YES
B024,STEP_DOWN,StepDown-East,OCCUPIED,NO
B025,STEP_DOWN,StepDown-East,OCCUPIED,NO
B026,STEP_DOWN,StepDown-East,OCCUPIED,NO
B027,STEP_DOWN,StepDown-East,OCCUPIED,NO
B028,STEP_DOWN,StepDown-East,AVAILABLE,NO
B029,STEP_DOWN,StepDown-East,OCCUPIED,NO
B030,STEP_DOWN,StepDown-East,CLEANING,NO
B031,STEP_DOWN,StepDown-East,AVAILABLE,NO
B032,STEP_DOWN,StepDown-East,OCCUPIED,NO
B033,STEP_DOWN,StepDown-East,OCCUPIED,NO
B034,STEP_DOWN,StepDown-East,AVAILABLE,NO
B035,STEP_DOWN,StepDown-East,OCCUPIED,NO
B036,STEP_DOWN,StepDown-West,OCCUPIED,YES
B037,STEP_DOWN,StepDown-West,OCCUPIED,YES
B038,STEP_DOWN,StepDown-West,OCCUPIED,YES
B039,STEP_DOWN,StepDown-West,OCCUPIED,NO
B040,STEP_DOWN,StepDown-West,CLEANING,NO
B041,STEP_DOWN,StepDown-West,OCCUPIED,NO
B042,STEP_DOWN,StepDown-West,CLEANING,NO
B043,STEP_DOWN,StepDown-West,AVAILABLE,NO
B044,STEP_DOWN,StepDown-West,OCCUPIED,NO
B045,STEP_DOWN,StepDown-West,OCCUPIED,NO
B046,STEP_DOWN,StepDown-West,CLEANING,NO
B047,STEP_DOWN,StepDown-West,OCCUPIED,NO
B048,STEP_DOWN,StepDown-West,OCCUPIED,NO
B049,STEP_DOWN,StepDown-West,OCCUPIED,NO
B050,STEP_DOWN,StepDown-West,AVAILABLE,NO
B051,WARD,Medical-North,OCCUPIED,YES
B052,WARD,Medical-North,CLEANING,YES
B053,WARD,Medical-North,OCCUPIED,NO
B054,WARD,Medical-North,CLEANING,NO
B055,WARD,Medical-North,OCCUPIED,NO
B056,WARD,Medical-North,OCCUPIED,NO
B057,WARD,Medical-North,AVAILABLE,NO
B058,WARD,Medical-North,OCCUPIED,NO
B059,WARD,Medical-North,OCCUPIED,NO
B060,WARD,Medical-North,OCCUPIED,NO
B061,WARD,Medical-North,OCCUPIED,NO
B062,WARD,Medical-North,OCCUPIED,NO
B063,WARD,Medical-North,OCCUPIED,NO
B064,WARD,Medical-North,AVAILABLE,NO
B065,WARD,Medical-North,OCCUPIED,NO
B066,WARD,Medical-South,OCCUPIED,NO
B067,WARD,Medical-South,OCCUPIED,NO
B068,WARD,Medical-South,OCCUPIED,NO
B069,WARD,Medical-South,OCCUPIED,NO
B070,WARD,Medical-South,OCCUPIED,NO
B071,WARD,Medical-South,OCCUPIED,NO
B072,WARD,Medical-South,OCCUPIED,NO
B073,WARD,Medical-South,OCCUPIED,NO
B074,WARD,Medical-South,CLEANING,NO
B075,WARD,Medical-South,OCCUPIED,NO
B076,WARD,Medical-South,AVAILABLE,NO
B077,WARD,Medical-South,OCCUPIED,NO
B078,WARD,Medical-South,OCCUPIED,NO
B079,WARD,Medical-South,AVAILABLE,NO
B080,WARD,Medical-South,OCCUPIED,NO
B081,WARD,Surgical-East,OCCUPIED,NO
B082,WARD,Surgical-East,CLEANING,NO
B083,WARD,Surgical-East,OCCUPIED,NO
B084,WARD,Surgical-East,OCCUPIED,NO
B085,WARD,Surgical-East,OCCUPIED,NO
B086,WARD,Surgical-East,OCCUPIED,NO
B087,WARD,Surgical-East,AVAILABLE,NO
B088,WARD,Surgical-East,OCCUPIED,NO
B089,WARD,Surgical-East,OCCUPIED,NO
B090,WARD,Surgical-East,OCCUPIED,NO
B091,WARD,Surgical-West,CLEANING,NO
B092,WARD,Surgical-West,AVAILABLE,NO
B093,WARD,Surgical-West,OCCUPIED,NO
B094,WARD,Surgical-West,AVAILABLE,NO
B095,WARD,Surgical-West,AVAILABLE,NO
B096,WARD,Surgical-West,AVAILABLE,NO
B097,WARD,Surgical-West,OCCUPIED,NO
B098,WARD,Surgical-West,AVAILABLE,NO
B099,WARD,Surgical-West,OCCUPIED,NO
B100,WARD,Surgical-West,OCCUPIED,NO
