equipment_id,type,status,location
E_VENT_001,VENTILATOR,AVAILABLE,ICU-Alpha
E_VENT_002,VENTILATOR,IN_USE,Central Storage
E_VENT_003,VENTILATOR,AVAILABLE,ICU-Alpha
E_VENT_004,VENTILATOR,IN_USE,ICU-Bravo
E_VENT_005,VENTILATOR,IN_USE,Central Storage
E_VENT_006,VENTILATOR,IN_USE,Emergency
E_VENT_007,VENTILATOR,IN_USE,ICU-Bravo
E_VENT_008,VENTILATOR,MAINTENANCE,ICU-Alpha
E_VENT_009,VENTILATOR,MAINTENANCE,ICU-Bravo
E_VENT_010,VENTILATOR,MAINTENANCE,Central Storage
E_VENT_011,VENTILATOR,IN_USE,ICU-Bravo
E_VENT_012,VENTILATOR,IN_USE,Emergency
E_VENT_013,VENTILATOR,IN_USE,ICU-Alpha
E_VENT_014,VENTILATOR,AVAILABLE,Central Storage
E_VENT_015,VENTILATOR,AVAILABLE,Emergency
E_VENT_016,VENTILATOR,IN_USE,ICU-Bravo
E_VENT_017,VENTILATOR,MAINTENANCE,ICU-Bravo
E_VENT_018,VENTILATOR,AVAILABLE,ICU-Alpha
E_VENT_019,VENTILATOR,MAINTENANCE,ICU-Bravo
E_VENT_020,VENTILATOR,AVAILABLE,Central Storage
E_VENT_021,VENTILATOR,IN_USE,Central Storage
E_VENT_022,VENTILATOR,MAINTENANCE,ICU-Alpha
E_VENT_023,VENTILATOR,IN_USE,ICU-Alpha
E_VENT_024,VENTILATOR,AVAILABLE,ICU-Alpha
E_VENT_025,VENTILATOR,MAINTENANCE,ICU-Alpha
E_TELM_026,TELEMETRY,IN_USE,Emergency
E_TELM_027,TELEMETRY,AVAILABLE,Central Storage
E_TELM_028,TELEMETRY,IN_USE,StepDown-East
E_TELM_029,TELEMETRY,IN_USE,StepDown-East
E_TELM_030,TELEMETRY,AVAILABLE,Medical-North
E_TELM_031,TELEMETRY,IN_USE,Emergency
E_TELM_032,TELEMETRY,IN_USE,Emergency
E_TELM_033,TELEMETRY,AVAILABLE,Central Storage
E_TELM_034,TELEMETRY,IN_USE,Central Storage
E_TELM_035,TELEMETRY,IN_USE,Emergency
E_TELM_036,TELEMETRY,AVAILABLE,Emergency
E_TELM_037,TELEMETRY,IN_USE,Central Storage
E_TELM_038,TELEMETRY,IN_USE,StepDown-East
E_TELM_039,TELEMETRY,IN_USE,Medical-North
E_TELM_040,TELEMETRY,IN_USE,StepDown-East
E_TELM_041,TELEMETRY,AVAILABLE,Central Storage
E_TELM_042,TELEMETRY,AVAILABLE,Central Storage
E_TELM_043,TELEMETRY,MAINTENANCE,StepDown-West
E_TELM_044,TELEMETRY,AVAILABLE,StepDown-West
E_TELM_045,TELEMETRY,IN_USE,Medical-North
E_TELM_046,TELEMETRY,AVAILABLE,Emergency
E_TELM_047,TELEMETRY,IN_USE,Emergency
E_TELM_048,TELEMETRY,AVAILABLE,StepDown-West
E_TELM_049,TELEMETRY,IN_USE,StepDown-East
E_TELM_050,TELEMETRY,IN_USE,Central Storage
E_TELM_051,TELEMETRY,IN_USE,Medical-North
E_TELM_052,TELEMETRY,AVAILABLE,Central Storage
E_TELM_053,TELEMETRY,IN_USE,StepDown-West
E_TELM_054,TELEMETRY,IN_USE,Central Storage
E_TELM_055,TELEMETRY,MAINTENANCE,Medical-North
E_TELM_056,TELEMETRY,IN_USE,Central Storage
E_TELM_057,TELEMETRY,IN_USE,StepDown-West
E_TELM_058,TELEMETRY,AVAILABLE,Central Storage
E_TELM_059,TELEMETRY,AVAILABLE,Central Storage
E_TELM_060,TELEMETRY,IN_USE,Emergency
E_TELM_061,TELEMETRY,AVAILABLE,StepDown-West
E_TELM_062,TELEMETRY,AVAILABLE,StepDown-West
E_TELM_063,TELEMETRY,IN_USE,Medical-North
E_TELM_064,TELEMETRY,AVAILABLE,Emergency
E_TELM_065,TELEMETRY,IN_USE,Emergency
E_DIAG_066,DIAGNOSTIC,AVAILABLE,Radiology
E_DIAG_067,DIAGNOSTIC,MAINTENANCE,Central Storage
E_DIAG_068,DIAGNOSTIC,IN_USE,Central Storage
E_DIAG_069,DIAGNOSTIC,IN_USE,Radiology
E_DIAG_070,DIAGNOSTIC,AVAILABLE,Radiology
E_DIAG_071,DIAGNOSTIC,IN_USE,Emergency
E_DIAG_072,DIAGNOSTIC,AVAILABLE,Emergency
E_DIAG_073,DIAGNOSTIC,IN_USE,Central Storage
E_DIAG_074,DIAGNOSTIC,IN_USE,Central Storage
E_DIAG_075,DIAGNOSTIC,AVAILABLE,Radiology
E_DIAG_076,DIAGNOSTIC,AVAILABLE,Radiology
E_DIAG_077,DIAGNOSTIC,IN_USE,Radiology
E_DIAG_078,DIAGNOSTIC,AVAILABLE,Emergency
E_DIAG_079,DIAGNOSTIC,IN_USE,Emergency
E_DIAG_080,DIAGNOSTIC,IN_USE,Emergency
